Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
STIFEL FINANCIAL CORP;0000720672;9/30/2025;82;14,189;;87874R308
RAYMOND JAMES FINANCIAL INC;0000720005;9/30/2025;80;13,899;;87874R308
Y-Intercept (Hong Kong) Ltd;0001772875;9/30/2025;78;13,536;;87874R308
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.;0001705339;9/30/2025;74;12,874;;87874R308
Inscription Capital, LLC;0001767868;9/30/2025;73;12,710;;87874R308
Atom Investors LP;0001738902;9/30/2025;72;12,398;;87874R308
Invesco Ltd.;0000914208;9/30/2025;71;12,368;;87874R308
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;70;12,100;put;87874R308
INTECH INVESTMENT MANAGEMENT LLC;0001086318;9/30/2025;69;12,022;;87874R308
JANUS HENDERSON GROUP PLC;0001274173;9/30/2025;68;11,734;;87874R308
CITADEL ADVISORS LLC;0001423053;9/30/2025;66;11,500;put;87874R308
Petrus Trust Company, LTA;0001473429;9/30/2025;65;11,201;;87874R308
Legal & General Group Plc;0000764068;9/30/2025;62;10,827;;87874R308
MANUFACTURERS LIFE INSURANCE COMPANY, THE;0000928047;9/30/2025;59;10,292;;87874R308
Police & Firemen's Retirement System of New Jersey;0002040686;9/30/2025;52;8,962;;87874R308
NEW YORK STATE COMMON RETIREMENT FUND;0000810265;9/30/2025;44;7,719;;87874R308
State of Tennessee, Department of Treasury;0001587973;9/30/2025;38;6,565;;87874R308
Tower Research Capital LLC (TRC);0001533421;9/30/2025;37;6,488;;87874R308
Point72 (DIFC) Ltd;0002017863;9/30/2025;35;6,163;;87874R308
BNP PARIBAS FINANCIAL MARKETS;0001166588;9/30/2025;32;5,658;;87874R308
KLP KAPITALFORVALTNING AS;0001717443;9/30/2025;30;5,200;;87874R308
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO;0000315297;9/30/2025;27;4,578;;87874R308
CITIGROUP INC;0000831001;9/30/2025;21;3,619;;87874R308
Zurcher Kantonalbank (Zurich Cantonalbank);0001368163;9/30/2025;19;3,285;;87874R308
Ameritas Investment Partners, Inc.;0001055980;9/30/2025;14;2,573;;87874R308
State of Alaska, Department of Revenue;0001370102;9/30/2025;14;2,540;;87874R308
Russell Investments Group, Ltd.;0001692234;9/30/2025;12;2,199;;87874R308
Farther Finance Advisors, LLC;0001992825;9/30/2025;12;2,113;;87874R308
CWM, LLC;0001535847;9/30/2025;11;1,922;;87874R308
Sterling Capital Management LLC;0001329883;9/30/2025;10;1,802;;87874R308
GAMMA Investing LLC;0002010235;9/30/2025;7;1,330;;87874R308
OSAIC HOLDINGS, INC.;0001677044;9/30/2025;7;1,254;;87874R308
SIMPLEX TRADING, LLC;0001488542;9/30/2025;6;1,053;;87874R308
PNC Financial Services Group, Inc.;0000713676;9/30/2025;5;924;;87874R308
AMALGAMATED BANK;0000919192;9/30/2025;5;919;;87874R308
SIGNATUREFD, LLC;0001456048;9/30/2025;4;854;;87874R308
Point72 Europe (London) LLP;0001698051;9/30/2025;4;851;;87874R308
PRINCIPAL SECURITIES, INC.;0000012600;9/30/2025;4;842;;87874R308
True Wealth Design, LLC;0001966033;9/30/2025;3;555;;87874R308
NISA INVESTMENT ADVISORS, LLC;0000937615;9/30/2025;3;518;;87874R308
Quarry LP;0001965207;9/30/2025;2;408;;87874R308
EverSource Wealth Advisors, LLC;0001710537;9/30/2025;2;367;;87874R308
Larson Financial Group LLC;0001731061;9/30/2025;1;268;;87874R308
COMERICA BANK;0000901541;9/30/2025;1;207;;87874R308
Versant Capital Management, Inc;0001735057;9/30/2025;1;183;;87874R308
Optiver Holding B.V.;0001859606;9/30/2025;0;156;;87874R308
PNC Financial Services Group, Inc.;0000713676;9/30/2025;0;107;;87874R308
ROTHSCHILD INVESTMENT LLC;0000085338;9/30/2025;0;105;;87874R308
IFP Advisors, Inc;0001641866;9/30/2025;0;96;;87874R308
Arax Advisory Partners;0001586767;9/30/2025;0;89;;87874R308
Bare Financial Services, Inc;0002009426;9/30/2025;0;85;;87874R308
Clearstead Trust, LLC;0001708001;9/30/2025;0;79;;87874R308
JONES FINANCIAL COMPANIES LLLP;0000815917;9/30/2025;0;72;;87874R308
MassMutual Private Wealth & Trust, FSB;0001103653;9/30/2025;0;71;;87874R308
Salomon & Ludwin, LLC;0001766156;9/30/2025;0;71;;87874R308
FIFTH THIRD BANCORP;0000035527;9/30/2025;0;38;;87874R308
Allworth Financial LP;0001555170;9/30/2025;0;35;;87874R308
Cedar Mountain Advisors, LLC;0001798986;9/30/2025;0;29;;87874R308
CIBC Private Wealth Group LLC;0001298088;9/30/2025;0;28;;87874R308
CoreCap Advisors, LLC;0001902501;9/30/2025;0;27;;87874R308
Advisory Services Network, LLC;0001573876;9/30/2025;0;17;;87874R308
SBI Securities Co., Ltd.;0001851815;9/30/2025;0;16;;87874R308
Covestor Ltd;0001909846;9/30/2025;0;6;;87874R308
Annis Gardner Whiting Capital Advisors, LLC;0001998414;9/30/2025;0;5;;87874R308
FIRST HORIZON CORP;0000036966;9/30/2025;0;3;;87874R308
VANGUARD GROUP INC;0000102909;9/30/2025;414866936;2,223,533,800;;67066G104
BlackRock, Inc.;0002012383;9/30/2025;359961170;1,929,259,144;;67066G104
FMR LLC;0000315066;9/30/2025;183353400;982,706,616;;67066G104
STATE STREET CORP;0000093751;9/30/2025;182863497;980,029,103;;67066G104
GEODE CAPITAL MANAGEMENT, LLC;0001214717;9/30/2025;108827799;585,419,652;;67066G104
JPMORGAN CHASE & CO;0000019617;9/30/2025;91167099;488,619,282;;67066G104
JPMORGAN CHASE & CO;0000019617;9/30/2025;91167099;488,619,282;;67066G104
PRICE T ROWE ASSOCIATES INC /MD/;0000080255;9/30/2025;73837674;395,742,700;;67066G104
MORGAN STANLEY;0000895421;9/30/2025;60257195;322,956,343;;67066G104
NORTHERN TRUST CORP;0000073124;9/30/2025;48406279;259,439,810;;67066G104
UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC;0000861177;9/30/2025;36638492;196,368,811;;67066G104
BANK OF AMERICA CORP /DE/;0000070858;9/30/2025;35550159;190,535,745;;67066G104
Legal & General Group Plc;0000764068;9/30/2025;33808862;181,203,035;;67066G104
GOLDMAN SACHS GROUP INC;0000886982;9/30/2025;31352300;168,036,771;;67066G104
Capital Research Global Investors;0001422848;9/30/2025;30855564;165,377,852;;67066G104
Bank of New York Mellon Corp;0001390777;9/30/2025;29192323;156,460,090;;67066G104
CHARLES SCHWAB INVESTMENT MANAGEMENT INC;0000884546;9/30/2025;29084154;155,880,346;;67066G104
JANE STREET GROUP, LLC;0001595888;9/30/2025;27588446;147,863,900;put;67066G104
WELLINGTON MANAGEMENT GROUP LLP;0000902219;9/30/2025;26750458;143,372,591;;67066G104
Invesco Ltd.;0000914208;9/30/2025;26642378;142,793,326;;67066G104
Nuveen, LLC;0001871926;9/30/2025;26186758;140,351,371;;67066G104
Capital World Investors;0001422849;9/30/2025;25175986;134,942,117;;67066G104
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;23714448;127,100,700;call;67066G104
Amundi;0001330387;9/30/2025;21700388;116,957,955;;67066G104
ALLIANCEBERNSTEIN L.P.;0001109448;9/30/2025;21364976;114,508,398;;67066G104
Capital International Investors;0001562230;9/30/2025;19031541;102,013,153;;67066G104
FRANKLIN RESOURCES INC;0000038777;9/30/2025;18621884;99,806,462;;67066G104
AMERIPRISE FINANCIAL INC;0000820027;9/30/2025;17977457;96,375,472;;67066G104
ROYAL BANK OF CANADA;0001000275;9/30/2025;17682339;94,770,823;;67066G104
DIMENSIONAL FUND ADVISORS LP;0000354204;9/30/2025;17357184;93,042,343;;67066G104
DEUTSCHE BANK AG;0000948046;9/30/2025;16861481;90,371,322;;67066G104
JANE STREET GROUP, LLC;0001595888;9/30/2025;16610359;89,025,400;call;67066G104
JENNISON ASSOCIATES LLC;0000053417;9/30/2025;16458264;88,210,227;;67066G104
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;16337019;87,560,400;put;67066G104
UBS Group AG;0001610520;9/30/2025;16331635;87,531,543;;67066G104
BARCLAYS PLC;0000312069;9/30/2025;16306866;87,398,793;;67066G104
JANUS HENDERSON GROUP PLC;0001274173;9/30/2025;15795556;84,658,650;;67066G104
Fisher Asset Management, LLC;0000850529;9/30/2025;15777871;84,563,575;;67066G104
CITADEL ADVISORS LLC;0001423053;9/30/2025;14496221;77,694,400;call;67066G104
MASSACHUSETTS FINANCIAL SERVICES CO /MA/;0000912938;9/30/2025;13381628;71,720,593;;67066G104
Swiss National Bank;0001582202;9/30/2025;13123234;70,335,700;;67066G104
AMERICAN CENTURY COMPANIES INC;0000748054;9/30/2025;12386768;66,388,509;;67066G104
California Public Employees Retirement System;0000919079;9/30/2025;12325918;66,062,378;;67066G104
Sumitomo Mitsui Trust Group, Inc.;0001475365;9/30/2025;12163913;65,194,092;;67066G104
CITADEL ADVISORS LLC;0001423053;9/30/2025;12162609;65,187,100;put;67066G104
HSBC HOLDINGS PLC;0000873630;9/30/2025;11875080;63,684,941;;67066G104
WELLS FARGO & COMPANY/MN;0000072971;9/30/2025;11155908;59,791,557;;67066G104
BANK OF MONTREAL /CAN/;0000927971;9/30/2025;11076985;59,368,557;;67066G104
DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main;0001694217;9/30/2025;10155323;54,428,922;;67066G104
Mitsubishi UFJ Asset Management Co., Ltd.;0001466546;9/30/2025;9371591;50,228,277;;67066G104
National Pension Service;0001608046;9/30/2025;9245740;49,553,761;;67066G104
BAILLIE GIFFORD & CO;0001088875;9/30/2025;8685167;46,549,296;;67066G104
CANADA PENSION PLAN INVESTMENT BOARD;0001283718;9/30/2025;8346618;44,734,795;;67066G104
RHUMBLINE ADVISERS;0001115418;9/30/2025;8239257;44,159,382;;67066G104
Swedbank AB;0000946431;9/30/2025;8008825;42,924,354;;67066G104
GOLDMAN SACHS GROUP INC;0000886982;9/30/2025;7724654;41,401,300;put;67066G104
LOOMIS SAYLES & CO L P;0000312348;9/30/2025;7630273;40,895,450;;67066G104
VAN ECK ASSOCIATES CORP;0000869178;9/30/2025;7500623;40,200,571;;67066G104
NORDEA INVESTMENT MANAGEMENT AB;0001218210;9/30/2025;7356879;39,377,397;;67066G104
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM;0001081019;9/30/2025;7151866;38,331,368;;67066G104
SCHRODER INVESTMENT MANAGEMENT GROUP;0001086619;9/30/2025;7076182;37,925,728;;67066G104
PRINCIPAL FINANCIAL GROUP INC;0001126328;9/30/2025;6959414;37,299,876;;67066G104
Clearbridge Investments, LLC;0001348883;9/30/2025;6584800;35,292,101;;67066G104
VICTORY CAPITAL MANAGEMENT INC;0001040188;9/30/2025;6170623;35,067,622;;67066G104
RAYMOND JAMES FINANCIAL INC;0000720005;9/30/2025;6390092;34,248,980;;67066G104
CITIGROUP INC;0000831001;9/30/2025;6229691;33,388,850;;67066G104
Clear Street Group Inc.;0001881567;9/30/2025;6177654;33,109,951;;67066G104
LPL Financial LLC;0001403438;9/30/2025;6118241;32,791,518;;67066G104
Voya Investment Management LLC;0001068837;9/30/2025;5881458;31,549,254;;67066G104
MILLENNIUM MANAGEMENT LLC;0001273087;9/30/2025;5839524;31,297,700;put;67066G104
T. Rowe Price Investment Management, Inc.;0001897612;9/30/2025;5649313;30,278,231;;67066G104
TD Asset Management Inc;0001056053;9/30/2025;5281232;28,305,460;;67066G104
Belvedere Trading LLC;0001632341;9/30/2025;5220489;27,979,900;call;67066G104
BANK OF AMERICA CORP /DE/;0000070858;9/30/2025;5203593;27,889,342;put;67066G104
NEW YORK STATE COMMON RETIREMENT FUND;0000810265;9/30/2025;5087108;27,265,028;;67066G104
NEUBERGER BERMAN GROUP LLC;0001465109;9/30/2025;4966081;26,616,573;;67066G104
Donor Advised Charitable Giving, Inc.;0001535839;9/30/2025;4883726;26,174,975;;67066G104
ARROWSTREET CAPITAL, LIMITED PARTNERSHIP;0001164508;9/30/2025;4798068;25,715,914;;67066G104
D. E. Shaw & Co., Inc.;0001009207;9/30/2025;4764088;25,533,758;;67066G104
NATIONAL BANK OF CANADA /FI/;0000926171;9/30/2025;4727230;25,336,243;;67066G104
Belvedere Trading LLC;0001632341;9/30/2025;4709447;25,240,900;put;67066G104
Robeco Institutional Asset Management B.V.;0001418773;9/30/2025;4608217;24,698,349;;67066G104
Pictet Asset Management Holding SA;0001993888;9/30/2025;4602908;24,674,394;;67066G104
CANADA LIFE ASSURANCE Co;0001046192;9/30/2025;4474200;24,610,316;;67066G104
PRUDENTIAL FINANCIAL INC;0001137774;9/30/2025;4517041;24,209,675;;67066G104
BNP PARIBAS FINANCIAL MARKETS;0001166588;9/30/2025;4491024;24,070,237;;67066G104
Ensign Peak Advisors, Inc;0001454984;9/30/2025;4471551;23,965,865;;67066G104
WOLVERINE TRADING, LLC;0000927337;9/30/2025;4350179;23,921,800;call;67066G104
BESSEMER GROUP INC;0001054074;9/30/2025;4312433;23,113,037;;67066G104
Russell Investments Group, Ltd.;0001692234;9/30/2025;4289640;23,074,514;;67066G104
MACQUARIE GROUP LTD;0001418333;9/30/2025;4223905;22,638,577;;67066G104
ADAGE CAPITAL PARTNERS GP, L.L.C.;0001165408;9/30/2025;4199563;22,508,110;;67066G104
AQR CAPITAL MANAGEMENT LLC;0001167557;9/30/2025;4090708;22,286,618;;67066G104
Universal- Beteiligungs- und Servicegesellschaft mbH;0002057170;9/30/2025;4151353;22,249,722;;67066G104
ENVESTNET ASSET MANAGEMENT INC;0001407543;9/30/2025;4146453;22,223,464;;67066G104
BANK OF AMERICA CORP /DE/;0000070858;9/30/2025;4046062;21,685,403;call;67066G104
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM;0000938076;9/30/2025;3997255;21,423,818;;67066G104
AVIVA PLC;0001140022;9/30/2025;3987957;21,373,980;;67066G104
Mariner, LLC;0001373442;9/30/2025;3945070;21,145,717;;67066G104
Assenagon Asset Management S.A.;0001546007;9/30/2025;3923065;21,026,183;;67066G104
SANDS CAPITAL MANAGEMENT, LLC;0001020066;9/30/2025;3886242;20,828,827;;67066G104
MANUFACTURERS LIFE INSURANCE COMPANY, THE;0000928047;9/30/2025;3885218;20,823,976;;67066G104
Allianz Asset Management GmbH;0001535323;9/30/2025;3810145;20,420,976;;67066G104
NEW YORK STATE TEACHERS RETIREMENT SYSTEM;0000314969;9/30/2025;3808479;20,412,043;;67066G104
Aberdeen Group plc;0001716774;9/30/2025;3745163;20,063,016;;67066G104
BANK OF NOVA SCOTIA;0000009631;9/30/2025;3707480;19,870,763;;67066G104
GOLDMAN SACHS GROUP INC;0000886982;9/30/2025;3687921;19,765,900;call;67066G104
APG Asset Management N.V.;0001434819;9/30/2025;3073770;19,357,272;;67066G104
SEI INVESTMENTS CO;0000350894;9/30/2025;3605562;19,324,473;;67066G104
SOFTBANK GROUP CORP.;0001065521;9/30/2025;3587290;19,226,556;;67066G104
JANE STREET GROUP, LLC;0001595888;9/30/2025;3538303;18,964,000;;67066G104
Korea Investment CORP;0001441689;9/30/2025;3520971;18,871,107;;67066G104
PRIMECAP MANAGEMENT CO/CA/;0000763212;9/30/2025;3501285;18,765,600;;67066G104
Winslow Capital Management, LLC;0000900973;9/30/2025;3481615;18,660,176;;67066G104
MILLENNIUM MANAGEMENT LLC;0001273087;9/30/2025;3409285;18,272,514;;67066G104
NOMURA ASSET MANAGEMENT CO LTD;0001055964;9/30/2025;3348437;17,946,392;;67066G104
Tidal Investments LLC;0001600064;9/30/2025;3331217;17,854,100;call;67066G104
NATIXIS ADVISORS, LLC;0001018331;9/30/2025;3325792;17,825,020;;67066G104
ACADIAN ASSET MANAGEMENT LLC;0000916542;9/30/2025;3289929;17,633,622;;67066G104
ProShare Advisors LLC;0001357955;9/30/2025;3271571;17,534,417;;67066G104
STIFEL FINANCIAL CORP;0000720672;9/30/2025;3247219;17,403,746;;67066G104
ROYAL LONDON ASSET MANAGEMENT LTD;0000863748;9/30/2025;3174037;17,011,669;;67066G104
CITIGROUP INC;0000831001;9/30/2025;3148444;16,874,500;put;67066G104
Holocene Advisors, LP;0001700574;9/30/2025;3137461;16,815,635;;67066G104
UBS Group AG;0001610520;9/30/2025;3093032;16,577,513;put;67066G104
DANSKE BANK A/S;0000800177;9/30/2025;3070645;16,457,530;;67066G104
Zurcher Kantonalbank (Zurich Cantonalbank);0001368163;9/30/2025;2954103;15,832,905;;67066G104
Chevy Chase Trust Holdings, LLC;0001462020;9/30/2025;2906349;15,576,960;;67066G104
UBS Group AG;0001610520;9/30/2025;2863052;15,344,904;call;67066G104
B. Riley Wealth Advisors, Inc.;0001464811;9/30/2025;28095;15,058,000;call;67066G104
FRED ALGER MANAGEMENT, LLC;0000003520;9/30/2025;2771926;14,855,800;;67066G104
Caisse de depot et placement du Quebec;0000898286;9/30/2025;2756116;14,771,767;;67066G104
BNP PARIBAS ASSET MANAGEMENT Holding S.A.;0001520354;9/30/2025;2728841;14,683,460;;67066G104
LOS ANGELES CAPITAL MANAGEMENT LLC;0001177206;9/30/2025;2729715;14,630,271;;67066G104
WOLVERINE TRADING, LLC;0000927337;9/30/2025;2606856;14,335,200;put;67066G104
AXA Investment Managers S.A.;0001826635;9/30/2025;2637077;14,133,764;;67066G104
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND;0001535845;9/30/2025;2606636;13,970,610;;67066G104
CREDIT AGRICOLE S A;0001191672;9/30/2025;2517853;13,494,767;;67066G104
BROWN ADVISORY INC;0001345929;9/30/2025;2505036;13,426,055;;67066G104
STATE OF WISCONSIN INVESTMENT BOARD;0000854157;9/30/2025;2453585;13,150,312;;67066G104
CAPSTONE INVESTMENT ADVISORS, LLC;0001426196;9/30/2025;2447351;13,116,900;put;67066G104
MACKENZIE FINANCIAL CORP;0000919859;9/30/2025;2436859;13,060,671;;67066G104
SOFTBANK GROUP CORP.;0001065521;9/30/2025;2403878;12,883,900;;67066G104
Mirae Asset Global Investments Co., Ltd.;0001569395;9/30/2025;2348452;12,586,837;;67066G104
EDGEWOOD MANAGEMENT LLC;0000860561;9/30/2025;2341491;12,549,530;;67066G104
PARNASSUS INVESTMENTS, LLC;0000948669;9/30/2025;2311043;12,386,339;;67066G104
MARSHALL WACE, LLP;0001318757;9/30/2025;2306887;12,364,716;;67066G104
CIBC Private Wealth Group LLC;0001298088;9/30/2025;2274173;12,188,730;;67066G104
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO;0000315297;9/30/2025;2267175;12,151,224;;67066G104
Skandinaviska Enskilda Banken AB (publ);0001534653;9/30/2025;2258611;12,105,650;;67066G104
Mitsubishi UFJ Trust & Banking Corp;0001462160;9/30/2025;2254837;12,085,099;;67066G104
TORONTO DOMINION BANK;0000947263;9/30/2025;2236753;11,988,621;;67066G104
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.;0001705339;9/30/2025;2208898;11,861,784;;67066G104
Bank Julius Baer & Co. Ltd, Zurich;0001544599;9/30/2025;2188597;11,731,222;;67066G104
Cerity Partners LLC;0001566475;9/30/2025;2176533;11,717,139;;67066G104
TIGER GLOBAL MANAGEMENT LLC;0001167483;9/30/2025;2184805;11,709,752;;67066G104
Ninety One UK Ltd;0001418329;9/30/2025;2181953;11,694,464;;67066G104
Ninety One UK Ltd;0001418329;9/30/2025;2181953;11,694,464;;67066G104
Handelsbanken Fonder AB;0001398318;9/30/2025;2167300;11,615,931;;67066G104
WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC;0001644956;9/30/2025;2158544;11,569,001;;67066G104
Creative Planning;0001540235;9/30/2025;2142169;11,481,241;;67066G104
AustralianSuper Pty Ltd;0001694164;9/30/2025;2121524;11,370,591;;67066G104
Treasurer of the State of North Carolina;0001761054;9/30/2025;2119358;11,358,976;;67066G104
Man Group plc;0001637460;9/30/2025;2118279;11,353,197;;67066G104
Walleye Trading LLC;0001388391;9/30/2025;2097140;11,239,900;put;67066G104
Quantinno Capital Management LP;0001759654;9/30/2025;2091778;11,211,161;;67066G104
Thrivent Financial for Lutherans;0000314984;9/30/2025;2054999;11,013,221;;67066G104
COMMONWEALTH EQUITY SERVICES, LLC;0000312272;9/30/2025;2051512;10,995,345;;67066G104
Asset Management One Co., Ltd.;0001068855;9/30/2025;2040436;10,935,989;;67066G104
Squarepoint Ops LLC;0001642575;9/30/2025;2017246;10,811,700;put;67066G104
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO;0001007280;9/30/2025;2013399;10,791,079;;67066G104
BARCLAYS PLC;0000312069;9/30/2025;1996872;10,702,500;call;67066G104
B. Riley Wealth Advisors, Inc.;0001464811;9/30/2025;19930;10,682,000;put;67066G104
PNC Financial Services Group, Inc.;0000713676;9/30/2025;1944425;10,421,402;;67066G104
PANAGORA ASSET MANAGEMENT INC;0000883677;9/30/2025;1923014;10,306,646;;67066G104
PEAK6 LLC;0001389958;9/30/2025;1913377;10,255,000;put;67066G104
TRUIST FINANCIAL CORP;0000092230;9/30/2025;1909218;10,232,709;;67066G104
CIBC Bancorp USA Inc.;0001711924;9/30/2025;1896525;10,164,679;;67066G104
PEAK6 LLC;0001389958;9/30/2025;1885782;10,107,100;call;67066G104
FIFTH THIRD BANCORP;0000035527;9/30/2025;1864413;9,992,569;;67066G104
