Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
STIFEL FINANCIAL CORP;0000720672;9/30/2025;82;14,189;;87874R308
RAYMOND JAMES FINANCIAL INC;0000720005;9/30/2025;80;13,899;;87874R308
Y-Intercept (Hong Kong) Ltd;0001772875;9/30/2025;78;13,536;;87874R308
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.;0001705339;9/30/2025;74;12,874;;87874R308
Inscription Capital, LLC;0001767868;9/30/2025;73;12,710;;87874R308
Atom Investors LP;0001738902;9/30/2025;72;12,398;;87874R308
Invesco Ltd.;0000914208;9/30/2025;71;12,368;;87874R308
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;70;12,100;put;87874R308
INTECH INVESTMENT MANAGEMENT LLC;0001086318;9/30/2025;69;12,022;;87874R308
JANUS HENDERSON GROUP PLC;0001274173;9/30/2025;68;11,734;;87874R308
CITADEL ADVISORS LLC;0001423053;9/30/2025;66;11,500;put;87874R308
Petrus Trust Company, LTA;0001473429;9/30/2025;65;11,201;;87874R308
Legal & General Group Plc;0000764068;9/30/2025;62;10,827;;87874R308
MANUFACTURERS LIFE INSURANCE COMPANY, THE;0000928047;9/30/2025;59;10,292;;87874R308
Police & Firemen's Retirement System of New Jersey;0002040686;9/30/2025;52;8,962;;87874R308
NEW YORK STATE COMMON RETIREMENT FUND;0000810265;9/30/2025;44;7,719;;87874R308
State of Tennessee, Department of Treasury;0001587973;9/30/2025;38;6,565;;87874R308
Tower Research Capital LLC (TRC);0001533421;9/30/2025;37;6,488;;87874R308
Point72 (DIFC) Ltd;0002017863;9/30/2025;35;6,163;;87874R308
BNP PARIBAS FINANCIAL MARKETS;0001166588;9/30/2025;32;5,658;;87874R308
KLP KAPITALFORVALTNING AS;0001717443;9/30/2025;30;5,200;;87874R308
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO;0000315297;9/30/2025;27;4,578;;87874R308
CITIGROUP INC;0000831001;9/30/2025;21;3,619;;87874R308
Zurcher Kantonalbank (Zurich Cantonalbank);0001368163;9/30/2025;19;3,285;;87874R308
Ameritas Investment Partners, Inc.;0001055980;9/30/2025;14;2,573;;87874R308
State of Alaska, Department of Revenue;0001370102;9/30/2025;14;2,540;;87874R308
Russell Investments Group, Ltd.;0001692234;9/30/2025;12;2,199;;87874R308
Farther Finance Advisors, LLC;0001992825;9/30/2025;12;2,113;;87874R308
CWM, LLC;0001535847;9/30/2025;11;1,922;;87874R308
Sterling Capital Management LLC;0001329883;9/30/2025;10;1,802;;87874R308
GAMMA Investing LLC;0002010235;9/30/2025;7;1,330;;87874R308
OSAIC HOLDINGS, INC.;0001677044;9/30/2025;7;1,254;;87874R308
SIMPLEX TRADING, LLC;0001488542;9/30/2025;6;1,053;;87874R308
PNC Financial Services Group, Inc.;0000713676;9/30/2025;5;924;;87874R308
AMALGAMATED BANK;0000919192;9/30/2025;5;919;;87874R308
SIGNATUREFD, LLC;0001456048;9/30/2025;4;854;;87874R308
Point72 Europe (London) LLP;0001698051;9/30/2025;4;851;;87874R308
PRINCIPAL SECURITIES, INC.;0000012600;9/30/2025;4;842;;87874R308
True Wealth Design, LLC;0001966033;9/30/2025;3;555;;87874R308
NISA INVESTMENT ADVISORS, LLC;0000937615;9/30/2025;3;518;;87874R308
Quarry LP;0001965207;9/30/2025;2;408;;87874R308
EverSource Wealth Advisors, LLC;0001710537;9/30/2025;2;367;;87874R308
Larson Financial Group LLC;0001731061;9/30/2025;1;268;;87874R308
COMERICA BANK;0000901541;9/30/2025;1;207;;87874R308
Versant Capital Management, Inc;0001735057;9/30/2025;1;183;;87874R308
Optiver Holding B.V.;0001859606;9/30/2025;0;156;;87874R308
PNC Financial Services Group, Inc.;0000713676;9/30/2025;0;107;;87874R308
ROTHSCHILD INVESTMENT LLC;0000085338;9/30/2025;0;105;;87874R308
IFP Advisors, Inc;0001641866;9/30/2025;0;96;;87874R308
Arax Advisory Partners;0001586767;9/30/2025;0;89;;87874R308
Bare Financial Services, Inc;0002009426;9/30/2025;0;85;;87874R308
Clearstead Trust, LLC;0001708001;9/30/2025;0;79;;87874R308
JONES FINANCIAL COMPANIES LLLP;0000815917;9/30/2025;0;72;;87874R308
MassMutual Private Wealth & Trust, FSB;0001103653;9/30/2025;0;71;;87874R308
Salomon & Ludwin, LLC;0001766156;9/30/2025;0;71;;87874R308
FIFTH THIRD BANCORP;0000035527;9/30/2025;0;38;;87874R308
Allworth Financial LP;0001555170;9/30/2025;0;35;;87874R308
Cedar Mountain Advisors, LLC;0001798986;9/30/2025;0;29;;87874R308
CIBC Private Wealth Group LLC;0001298088;9/30/2025;0;28;;87874R308
CoreCap Advisors, LLC;0001902501;9/30/2025;0;27;;87874R308
Advisory Services Network, LLC;0001573876;9/30/2025;0;17;;87874R308
SBI Securities Co., Ltd.;0001851815;9/30/2025;0;16;;87874R308
Covestor Ltd;0001909846;9/30/2025;0;6;;87874R308
Annis Gardner Whiting Capital Advisors, LLC;0001998414;9/30/2025;0;5;;87874R308
FIRST HORIZON CORP;0000036966;9/30/2025;0;3;;87874R308
